name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
18	26	0.6458315999989281	1	-1	1	1	
15	15	0.8032641999998305	1	1	-1	1	
13	18	3.669034999998985	1	1	1	1	
10	20	1.1726467000007688	1	1	1	1	
20	22	0.8245137999983854	1	1	1	1	
15	23	0.7455732000016724	1	1	1	1	
14	8	1.3270023000004585	1	-1	-1	1	
15	19	1.0686009999990347	1	1	1	1	
10	11	0.6118403000000399	1	1	-1	1	
18	7	0.8143099000008078	1	-1	-1	1	
15	2	0.9135094999983266	1	-1	-1	1	
19	14	0.7839593999997305	1	1	-1	1	
4	24	1.2344401000009384	1	1	1	1	
14	13	0.9147501000006741	1	1	-1	1	
13	29	0.864524699998583	1	-1	1	1	
15	16	0.7689387999998871	1	1	-1	1	
15	5	1.0600863999970898	1	-1	-1	1	
17	31	0.7638809999989462	1	-1	1	1	
13	3	1.5678288000017346	1	-1	-1	1	
7	9	0.9943973000008555	1	1	-1	1	
12	4	0.7645123000002059	1	-1	-1	1	
17	30	0.8477480999972613	1	-1	1	1	
8	12	1.2963973000005353	1	1	-1	1	
6	21	2.0949268999975175	1	1	1	1	
14	6	1.0380212999989453	1	-1	-1	1	
15	25	6.774536900000385	1	-1	1	1	
13	10	0.9045087999984389	1	1	1	1	
16	27	0.9502604000008432	1	-1	1	1	
12	1	0.690025500000047	1	-1	-1	1	
7	9	4.257617499999469	1	1	-1	1	
16	27	0.9363389999998617	1	-1	1	1	
15	2	1.220827900000586	1	-1	-1	1	
18	7	0.7091655999975046	1	-1	-1	1	
13	3	3.2592339999973774	0	-1	-1	1	
10	20	1.2595053000004555	1	1	1	1	
14	6	1.1000524000010046	1	-1	-1	1	
14	13	1.442470100002538	1	1	-1	1	
13	29	0.7149541999970097	1	-1	1	1	
17	31	0.8159159999995609	1	-1	1	1	
15	16	5.553636099997675	1	1	-1	1	
18	26	0.7103811000015412	1	-1	1	1	
4	24	1.4688287999997556	1	1	1	1	
12	4	0.9474831000006816	1	-1	-1	1	
12	28	1.0403662999997323	1	-1	1	1	
19	14	0.9109143000023323	1	1	-1	1	
